ApiaryID,HiveID,InsptDate,Brood,Bees,Queen,Food,Stressors,Space
BBCC,HT105,2016-08-08,0.0,1.0,0.0,1.0,0.0,1.0
BBCC,HT105,2016-08-15,1.0,1.0,0.0,0.0,0.0,1.0
BBCC,HT105,2016-08-22,1.0,1.0,0.0,1.0,1.0,1.0
BBCC,HT105,2016-08-29,1.0,1.0,0.0,0.0,1.0,1.0
BBCC,HT105,2016-09-08,1.0,1.0,1.0,0.0,1.0,1.0
BBCC,HT105,2016-09-16,1.0,1.0,0.0,0.0,1.0,1.0
BBCC,HT105,2016-09-27,1.0,1.0,0.0,1.0,1.0,1.0
BBCC,HT105,2016-10-04,1.0,1.0,0.0,1.0,1.0,1.0
BBCC,HT105,2016-10-11,1.0,1.0,0.0,1.0,0.0,1.0
BBCC,HT105,2016-10-24,1.0,1.0,0.0,1.0,0.0,1.0
BBCC,HT105,2017-03-07,0.0,0.0,0.0,1.0,0.0,0.0
BBCC,HT105,2017-03-07,0.0,0.0,0.0,1.0,0.0,0.0
BBCC,HT105,2017-03-24,0.0,0.0,0.0,1.0,0.0,0.0
BBCC,HT105,2017-03-24,0.0,0.0,0.0,1.0,0.0,0.0
BBCC,HT105,2017-03-29,0.0,0.0,0.0,1.0,0.0,0.0
BBCC,HT105,2017-03-29,0.0,0.0,0.0,1.0,0.0,0.0
BBCC,HT105,2017-07-11,1.0,1.0,1.0,1.0,1.0,1.0
BBCC,HT106,2016-06-15,1.0,1.0,1.0,0.0,1.0,1.0
BBCC,HT106,2016-07-28,1.0,1.0,1.0,1.0,1.0,1.0
BBCC,HT106,2016-08-01,1.0,1.0,1.0,1.0,1.0,0.0
BBCC,HT106,2016-08-08,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT106,2016-08-16,1.0,1.0,1.0,1.0,1.0,1.0
BBCC,HT106,2016-08-22,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT106,2016-08-29,1.0,1.0,1.0,1.0,1.0,1.0
BBCC,HT106,2016-09-08,1.0,1.0,1.0,0.0,0.0,1.0
BBCC,HT106,2016-09-16,1.0,1.0,1.0,1.0,0.5,1.0
BBCC,HT106,2016-09-27,0.0,1.0,1.0,1.0,1.0,0.0
BBCC,HT106,2016-10-04,1.0,1.0,1.0,0.0,0.0,1.0
BBCC,HT106,2016-10-11,1.0,1.0,1.0,0.0,1.0,0.0
BBCC,HT106,2016-10-24,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT106,2017-03-07,1.0,1.0,0.0,1.0,0.0,0.0
BBCC,HT106,2017-03-07,1.0,1.0,0.0,1.0,0.0,0.0
BBCC,HT106,2017-03-24,0.0,0.5,0.0,1.0,0.0,0.0
BBCC,HT106,2017-03-24,0.0,0.5,0.0,1.0,0.0,0.0
BBCC,HT106,2017-03-29,0.0,1.0,0.0,1.0,0.0,1.0
BBCC,HT106,2017-03-29,0.0,1.0,0.0,1.0,0.0,1.0
BBCC,HT106,2017-04-04,0.0,1.0,1.0,1.0,1.0,1.0
BBCC,HT106,2017-04-04,0.0,1.0,1.0,1.0,1.0,1.0
BBCC,HT106,2017-04-10,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT106,2017-04-10,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT106,2017-04-11,1.0,1.0,1.0,1.0,0.0,0.0
BBCC,HT106,2017-04-11,1.0,1.0,1.0,1.0,0.0,0.0
BBCC,HT106,2017-04-21,1.0,1.0,1.0,1.0,1.0,0.0
BBCC,HT106,2017-04-21,1.0,1.0,1.0,1.0,1.0,0.0
BBCC,HT106,2017-04-28,1.0,1.0,1.0,1.0,1.0,0.0
BBCC,HT106,2017-04-28,1.0,1.0,1.0,1.0,1.0,0.0
BBCC,HT106,2017-05-02,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT106,2017-05-02,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT106,2017-05-08,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT106,2017-05-08,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT106,2017-05-16,1.0,1.0,1.0,1.0,0.0,0.0
BBCC,HT106,2017-05-16,1.0,1.0,1.0,1.0,0.0,0.0
BBCC,HT106,2017-05-25,1.0,1.0,0.0,1.0,0.0,1.0
BBCC,HT106,2017-05-25,1.0,1.0,0.0,1.0,0.0,1.0
BBCC,HT106,2017-06-06,1.0,0.0,0.0,0.0,0.0,1.0
BBCC,HT106,2017-06-06,1.0,0.0,0.0,0.0,0.0,1.0
BBCC,HT106,2017-06-12,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT106,2017-06-12,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT106,2017-06-21,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT106,2017-06-21,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT106,2017-06-26,1.0,1.0,1.0,1.0,1.0,1.0
BBCC,HT106,2017-06-26,1.0,1.0,1.0,1.0,1.0,1.0
BBCC,HT106,2017-07-03,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT106,2017-07-11,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT106,2017-07-25,0.0,1.0,0.0,1.0,0.0,0.0
BBCC,HT106,2017-08-07,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT106,2017-08-18,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT106,2017-08-24,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT106,2017-08-30,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT106,2017-09-05,0.0,1.0,0.0,1.0,1.0,1.0
BBCC,HT106,2017-09-13,0.0,1.0,0.0,1.0,1.0,1.0
BBCC,HT106,2017-09-19,0.0,1.0,0.0,1.0,0.0,1.0
BBCC,HT106,2017-09-25,0.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT106,2017-10-03,1.0,1.0,1.0,1.0,1.0,1.0
BBCC,HT106,2017-10-10,1.0,1.0,1.0,1.0,0.0,0.0
BBCC,HT106,2017-10-17,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT106,2017-10-24,1.0,1.0,1.0,1.0,0.0,0.0
BBCC,HT106,2017-11-03,1.0,1.0,1.0,1.0,0.0,1.0
BBCC,HT107,2017-04-04,0.0,0.0,1.0,1.0,1.0,1.0
BBCC,HT107,2017-04-04,0.0,0.0,1.0,1.0,1.0,1.0
BBCC,HT107,2017-04-10,0.0,0.0,1.0,1.0,1.0,1.0
BBCC,HT107,2017-04-10,0.0,0.0,1.0,1.0,1.0,1.0
BBCC,HT107,2017-04-21,0.0,0.0,0.0,1.0,0.0,1.0
BBCC,HT107,2017-04-21,0.0,0.0,0.0,1.0,0.0,1.0
BBCC,HT107,2017-04-28,0.0,1.0,0.0,1.0,0.0,1.0
BBCC,HT107,2017-04-28,0.0,1.0,0.0,1.0,0.0,1.0
BBCC,HT107,2017-05-02,0.0,0.0,0.0,1.0,0.0,1.0
BBCC,HT107,2017-05-02,0.0,0.0,0.0,1.0,0.0,1.0
